Periodo,Trimestre,Entidad_Federativa,Sexo,Poblacion_desocupada_abierta,Poblacion_Economicamente_Activa,Tasa_de_desocupacion,,
2016,2,Sinaloa,Mujeres,22469,516029,4.354212651,,
2016,2,Sonora,Hombres,33118,800273,4.138337792,,
2016,2,Sonora,Mujeres,36149,555581,6.506522001,,
2016,2,Tabasco,Hombres,43616,635202,6.866477121,,
2016,2,Tabasco,Mujeres,26565,349819,7.593927145,,
2016,2,Tamaulipas,Hombres,35438,913277,3.880312326,,
2016,2,Tamaulipas,Mujeres,36191,640041,5.65448151,,
2016,2,Tlaxcala,Hombres,12797,335345,3.816070017,,
2016,2,Tlaxcala,Mujeres,9169,227981,4.02182638,,
2016,2,Veracruz,Hombres,78944,2047533,3.855566675,,
2016,2,Veracruz,Mujeres,29921,982990,3.043876336,,
2016,2,Yucatán,Hombres,12993,624844,2.079399018,,
2016,2,Yucatán,Mujeres,9301,415159,2.24034647,,
2016,2,Zacatecas,Hombres,11330,404288,2.802457654,,
2016,2,Zacatecas,Mujeres,7668,225704,3.397370007,,
2016,3,Nacional,Hombres,1283816,32933655,3.898188646,,
2016,3,Nacional,Mujeres,861696,20532251,4.196792646,,
2016,3,Aguascalientes,Hombres,13945,351292,3.969632101,,
2016,3,Aguascalientes,Mujeres,8852,225479,3.925864493,,
2016,3,Baja California,Hombres,31210,1024661,3.04588542,,
2016,3,Baja California,Mujeres,19169,650032,2.948931745,,
2016,3,Baja California Sur,Hombres,10572,214240,4.934652726,,
2016,3,Baja California Sur,Mujeres,8146,138544,5.879720522,,
2016,3,Campeche,Hombres,10063,245510,4.098814712,,
2016,3,Campeche,Mujeres,6288,138379,4.544042087,,
2016,3,Coahuila,Hombres,32187,849407,3.789349511,,
2016,3,Coahuila,Mujeres,27875,494598,5.635890157,,
2016,3,Colima,Hombres,7816,204225,3.827151426,,
2016,3,Colima,Mujeres,6848,144309,4.745372776,,
2016,3,Chiapas,Hombres,43685,1384523,3.155238302,,
2016,3,Chiapas,Mujeres,20215,597018,3.385995062,,
2016,3,Chihuahua,Hombres,31257,1002215,3.118791876,,
2016,3,Chihuahua,Mujeres,20975,609912,3.439020711,,
2016,3,Ciudad de México,Hombres,141065,2597407,5.430993294,,
2016,3,Ciudad de México,Mujeres,87704,1960810,4.472845406,,
2016,3,Durango,Hombres,21524,470951,4.570326849,,
2016,3,Durango,Mujeres,16168,292005,5.536891492,,
2016,3,Guanajuato,Hombres,59013,1541123,3.82922064,,
2016,3,Guanajuato,Mujeres,44830,1061704,4.222457483,,
2016,3,Guerrero,Hombres,17375,884667,1.964015839,,
2016,3,Guerrero,Mujeres,7985,555900,1.436409426,,
2016,3,Hidalgo,Hombres,20423,763165,2.676092326,,
2016,3,Hidalgo,Mujeres,16283,489003,3.329836422,,
2016,3,Jalisco,Hombres,80624,2227932,3.618781902,,
2016,3,Jalisco,Mujeres,45657,1406987,3.245019321,,
2016,3,México,Hombres,243756,4423500,5.510478128,,
2016,3,México,Mujeres,162078,2789947,5.809357669,,
2016,3,Michoacán,Hombres,37365,1241858,3.008798107,,
2016,3,Michoacán,Mujeres,24109,722852,3.335260883,,
2016,3,Morelos,Hombres,14827,492297,3.011799788,,
2016,3,Morelos,Mujeres,8087,328241,2.463738534,,
2016,3,Nayarit,Hombres,12724,324376,3.922608331,,
2016,3,Nayarit,Mujeres,10988,224619,4.89183907,,
2016,3,Nuevo León,Hombres,58838,1556521,3.780096767,,
2016,3,Nuevo León,Mujeres,48240,924432,5.218339478,,
2016,3,Oaxaca,Hombres,21756,1014447,2.144616722,,
2016,3,Oaxaca,Mujeres,11986,656656,1.825308838,,
2016,3,Puebla,Hombres,46464,1699131,2.734574321,,
2016,3,Puebla,Mujeres,41150,1110658,3.705010903,,
2016,3,Querétaro,Hombres,26030,533058,4.883145924,,
2016,3,Querétaro,Mujeres,8958,323335,2.770501183,,
2016,3,Quintana Roo,Hombres,16436,527771,3.114229467,,
2016,3,Quintana Roo,Mujeres,8926,327605,2.72462264,,
2016,3,San Luis Potosí,Hombres,18069,748963,2.412535733,,
2016,3,San Luis Potosí,Mujeres,13771,457116,3.012583239,,
2016,3,Sinaloa,Hombres,28451,798984,3.56089734,,
2016,3,Sinaloa,Mujeres,25342,531098,4.771624069,,
2016,3,Sonora,Hombres,34779,810922,4.28882186,,
2016,3,Sonora,Mujeres,41302,539556,7.654812475,,
2016,3,Tabasco,Hombres,50863,629547,8.079301466,,
2016,3,Tabasco,Mujeres,23977,324663,7.385196342,,
2016,3,Tamaulipas,Hombres,37501,925184,4.053355873,,
2016,3,Tamaulipas,Mujeres,39576,641718,6.167194936,,
2016,3,Tlaxcala,Hombres,12639,335901,3.7627158,,
2016,3,Tlaxcala,Mujeres,13202,226860,5.819448118,,
2016,3,Veracruz,Hombres,80120,2048968,3.910261166,,
2016,3,Veracruz,Mujeres,25299,999955,2.530013851,,
2016,3,Yucatán,Hombres,11755,634365,1.853034136,,
2016,3,Yucatán,Mujeres,8970,411229,2.181266399,,
